"ID";"X_UTM";"Y_UTM";"LAND_USE"
485234;885523;4609405;3
485237;885547;4623464;3
485240;885566;4594347;2
485241;885569;4637523;3
485243;885588;4651582;3
485244;885593;4608406;3
485247;885617;4622465;3
485250;885636;4593348;2
485251;885639;4636524;3
485253;885658;4650583;3
485254;885662;4607407;3
485257;885687;4621466;3
485260;885705;4592348;2
485261;885709;4635525;3
485263;885728;4649584;2
485264;885732;4606407;1
485265;885745;4577290;3
485267;885756;4620466;3
485269;885772;4691762;4
485270;885774;4591349;3
485271;885778;4634526;2
485273;885798;4648585;3
485274;885801;4605408;3
485275;885814;4576291;3
485276;885815;4662644;3
485277;885826;4619467;2
485280;885844;4590350;3
485281;885848;4633526;3
485283;885868;4647586;3
485284;885871;4604409;3
485285;885883;4575291;3
485286;885886;4661645;3
485287;885896;4618468;3
485289;885913;4589350;3
485291;885918;4632527;3
485293;885938;4646586;3
485294;885940;4603410;3
485297;885965;4617469;3
485299;885982;4588351;3
485301;885988;4631528;3
485303;886008;4645587;3
485304;886010;4602410;2
485307;886035;4616469;3
485309;886052;4587352;2
485311;886058;4630529;3
485314;886078;4644588;3
485315;886079;4601411;3
485318;886105;4615470;1
485319;886112;4672706;3
485320;886121;4586353;2
485322;886128;4629529;3
485325;886148;4643589;3
485326;886149;4600412;3
485328;886166;4657648;3
485329;886174;4614471;1
485331;886190;4585353;2
485333;886197;4628530;3
485336;886218;4599413;3
485337;886218;4642589;3
485339;886236;4656649;3
485340;886244;4613472;1
485342;886259;4584354;2
485344;886267;4627531;3
485347;886288;4598413;3
485348;886288;4641590;3
485350;886307;4655649;3
485351;886314;4612472;2
485353;886329;4583355;2
485355;886337;4626532;3
485358;886357;4597414;2
485359;886358;4640591;3
485360;886377;4654650;3
485361;886383;4611473;3
485363;886398;4582356;2
485364;886407;4625532;3
485367;886427;4596415;2
485369;886428;4639592;3
485370;886447;4653651;3
485371;886453;4610474;3
485373;886467;4581356;2
485374;886477;4624533;3
485377;886496;4595415;2
485378;886498;4638592;3
485380;886517;4652652;3
485381;886522;4609475;3
485384;886546;4623534;3
485387;886565;4594416;2
485388;886568;4637593;3
485390;886587;4651653;2
485391;886592;4608475;3
485394;886616;4622535;2
485397;886635;4593417;2
485398;886638;4636594;3
485400;886657;4650653;3
485401;886662;4607476;3
485404;886686;4621535;3
485407;886704;4592418;3
485408;886708;4635595;3
485410;886727;4649654;2
485411;886731;4606477;3
485414;886756;4620536;3
485416;886771;4691832;4
485417;886774;4591418;2
485418;886778;4634595;2
485420;886797;4648655;3
485421;886801;4605478;2
485422;886813;4576360;2
485424;886825;4619537;3
485427;886843;4590419;3
485428;886848;4633596;3
485430;886867;4647656;3
485431;886870;4604478;3
485432;886882;4575361;3
485433;886885;4661715;3
485434;886895;4618538;3
485436;886912;4589420;2
485438;886917;4632597;3
485440;886937;4646656;3
485441;886940;4603479;3
485442;886951;4574361;3
485443;886955;4660716;3
485444;886965;4617538;3
485446;886982;4588421;2
485447;886983;4688835;3
485448;886987;4631598;3
485450;887007;4645657;3
485451;887009;4602480;3
485453;887025;4659717;3
485454;887034;4616539;2
485456;887051;4587421;2
485458;887057;4630598;3
485461;887077;4644658;3
485462;887079;4601481;3
485464;887095;4658717;3
485465;887104;4615540;4
485466;887111;4672777;3
485467;887120;4586422;2
485469;887127;4629599;3
485472;887147;4643659;3
485473;887148;4600481;4
485476;887174;4614541;2
485478;887189;4585423;2
485479;887194;4685837;3
485480;887197;4628600;3
485483;887217;4642659;3
485484;887218;4599482;3
485486;887236;4656719;3
485487;887243;4613541;1
485489;887259;4584423;2
485490;887265;4684838;3
485491;887267;4627601;3
485494;887287;4598483;2
485495;887287;4641660;3
485497;887306;4655720;3
485498;887313;4612542;1
485500;887328;4583424;2
485501;887335;4683839;3
485502;887336;4626601;3
485505;887356;4597483;2
485506;887357;4640661;3
485507;887376;4654720;3
485508;887382;4611543;3
485510;887397;4582425;3
485511;887406;4625602;3
485512;887406;4682839;3
485514;887426;4596484;3
485516;887427;4639662;3
485517;887446;4653721;3
485518;887452;4610544;3
485519;887462;4667781;3
485521;887476;4624603;3
485524;887495;4595485;2
485525;887497;4638662;3
485527;887516;4652722;2
485528;887522;4609544;3
485529;887533;4666781;3
485530;887536;4580426;1
485531;887546;4623604;2
485534;887565;4594486;2
485535;887567;4637663;3
485537;887586;4651723;2
485538;887591;4608545;3
485541;887615;4622604;3
485544;887634;4593486;2
485545;887637;4636664;3
485547;887656;4650723;4
485548;887661;4607546;3
485550;887674;4578428;3
485551;887685;4621605;3
485554;887703;4592487;2
